product_id,product_name,manufacturer,price,number_available_in_stock,number_of_reviews,average_review_rating,product_information,product_description,customer_reviews,subcategory_1,subcategory_2,subcategory_3,subcategory_4,category
03756123c54f2857ac841e94b9679189,20pcs Scale 1/200 Model Single Head Street Lights Lamppost,Generic,4.99,,1,5.0,"Technical Details Manufacturer recommended age:3 years and up    Additional Information ASINB008PKAAZ2 Best Sellers Rank 61,275 in Toys & Games (See top 100) #10 in Toys & Games > Model Trains & Railway Sets > Lighting & Signal Engineering > Lamps & Lighting Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available27 July 2012    Feedback  Would you like to update product info or give feedback on images?","These delicate model street lights are mainly used in teaching, photography, and various kinds of scene model. Each of them is completed with wires and has single head, which can be lighten with 6V power. These model lights measure about 7.5cm high. Light up your model layout with this great model lamppost! Description: A pack of 20pcs model street lights Each has single head, completed with wires and bulbs Mainly used to decorate your model layout Voltage: 6V Power: 1 W Height: Approx. 2.36 inch / 6cm Scale: 1:200 Material: Plastic Main Color: White Please cut off every 30min for durable using. These lights cannot be lighted continuously for too long time, if not, the rubber wrapped on the bulb will melt Package Include: 20pcs model street lights","Five Stars // 5.0 // 27 Dec. 2014 // By
    
    catherine baines
  
 on 27 Dec. 2014 // just what my husband required for his train set layout",Model Trains & Railway Sets,Lighting & Signal Engineering,Lamps & Lighting,,Hobbies
09912d49040348e3218d626d075eb81d,G PI TRAINDRIVER,Piko,7.25,3,2,5.0,"Technical Details Item Weight998 g Manufacturer recommended age:3 years and up Item model number36200 Scale1:22.5 Track Width/GaugeG    Additional Information ASINB002N55P6E Best Sellers Rank 687,130 in Toys & Games (See top 100) #872 in Toys & Games > Model Trains & Railway Sets > Rail Vehicles > Trains Shipping Weight18 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available28 Aug. 2009    Feedback  Would you like to update product info or give feedback on images?",Suitable for the following scale(s): G Scale,"Diesel driver // 5.0 // 29 July 2015 // By
    
    R. Nipper
  
 on 29 July 2015 // A good driver figure for internal combustion type models, I bought a couple of these guys for my new Swift Sixteen railcar currently in the erecting shop.  Might have to see if I can fashion a drivers cap from something | Five Stars // 5.0 // 21 Dec. 2015 // By
    
    BRIXHAM
  
 on 21 Dec. 2015 // A1",Model Trains & Railway Sets,Rail Vehicles,Trains,,Hobbies
87bbb472ef9d90dcef140a551665c929,Hornby Santa's Express Train Set,Hornby,69.93,3,36,4.3,Technical Details Item Weight1.2 Kg Product Dimensions40 x 29.8 x 8 cm Manufacturer recommended age:8 years and up Item model numberR1179 Main Language(s)English Assembly RequiredYes Scale1:72 Engine Typeelectric Track Width/GaugeOO Batteries Required?No Batteries Included?No Remote Control Included?No Radio Control Suitabilityindoor    Additional Information ASINB00OG9OXF4 Customer Reviews ,"Product Description Inject a bit of Hornby magic into Christmas with the special Santa's Express Train Set. The set includes everything you need to get started, including Santa's festive train, an oval track, power transformer and mat. Whether this is your first train set, or you're a seasoned modeller, Santa's Express will delight young and old alike and is sure to become a festive favourite. - for a spectacular Christmas decoration, build the set around the base of your Christmas tree or use as a moving table centre! - add some Christmas cheer to your existing model railwaySanta's special train includes his very own steam engine, a wagon full of presents and a closed van in which he keeps his reindeer. The spritely little engine, in its colourful livery is more than capable of pulling such an important train around the oval of track included in this set. Additional track packs can be obtained to make the layout larger and even more exciting, and there is even a Hornby MidiMat included so you can see how Santa's Special train set can grow and grow into a truly exciting model railway. Contents: -Santa's Express 0-4-0 locomotive -7 Plank Open Wagon (with lots of presents!) -Reindeer Box Van -3rd Radius Starter Oval -Power Track and Track Straight -R8250 Train Controller -P9000 Transformer -Hornby MidiMat (1600 x 1180mm) This item will be supplied with a UK transformer Box Contains 1x Santa's Express 0-4-0 locomotive 7x Plank Open Wagon 1x Reindeer Box Van 1x 3rd Radius Starter Oval 1x Power Track and Track Straight 1xR8250 Train Controller 1x P9000 Transformer 1x Hornby MidiMat (1600 x 1180mm)","Beautiful set // 5.0 // 3 Dec. 2015 // By
    
    Adam Irwin
  
 on 3 Dec. 2015 // This has gone down very well this Christmas. Adults and kids collectively enjoy its appearance from around the Christmas tree.Whilst I use this as effectively a Christmas tree decoration it is nevertheless a quality Hornby OO gauge model in its own right, and could be used year round for a modelling enthusiast.A word of warning would be that the model is delicate and intricate. If you have cats for example they are sure to damage the delicate parts as they seek to derail the train from the track. | and I absolu",Model Trains & Railway Sets,Rail Vehicles,Trains,,Hobbies
f82cb6573e01270552f1649a1f1f5f24,Hornby R1151 Caledonian Belle 00 Gauge Electric Train Set,Hornby,63.99,18,97,4.4,"Technical Details Item Weight1.3 Kg Product Dimensions40 x 30 x 8.8 cm Manufacturer recommended age:5 - 3 years Item model numberR1151 Assembly RequiredYes Scale1:76 Engine Typeelectric Track Width/GaugeOO Batteries Required?No Batteries Included?No Material Type(s)Plastic Remote Control Included?Yes Remote Control Typewired Radio Control Suitabilityindoor    WEEE Directive Click here for information about recycling electrical and electronic products Additional Information ASINB0051TCJ0E Best Sellers Rank 25,355 in Toys & Games (See top 100) #25 in Toys & Games > Model Trains & Railway Sets > Rail Vehicles > Trains Shipping Weight1.3 Kg Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available1 Jan. 2011    Feedback  Would you like to update product info or give feedback on images?","Product Description Hornby R1151 Caledonian Belle OO Gauge Electric Train Set Remembering the tranquil times of British rail The halcyon days of British railways were at their best when numerous small branch lines criss-crossed the British countryside, linking the small towns to the outside world. This Caledonian Belle set emulates those small local trains with the smart 0-4-0 locomotive which makes easy work of hauling the four-wheel coach and wagon around the oval of track included in the set. Caledonian Belle The train set includes the Caledonian Railways 0-4-0 locomotive, a four-wheel coach, and an open wagon in Hornby's usual standards of exacting detail. The train is operated using the R8250 Train Controller included. R1151 set track The track circuit sits easily on the 1600 x 1180 mm MidiMat, and by adding Hornby track and accessory packs can soon be developed into a very effective model railway layout. Extend your set in easy steps by adding track packs and TrakMat accessory packs all the way to the full layout pictured on your MidiMat. Why choose a Hornby analogue train set? Hornby's analogue sets represent the classic origins of Hornby's world famous model trains. In addition to track, a controller, and an exquisitely detailed locomotive with carriages, every Hornby set includes a Midimat (a pictorial bird's eye view of a fully scenic layout) providing the new set owner the opportunity of seeing how, by the addition of Hornby track and building packs, a superb layout can be created. Box Contains 1 x Caledonian 0-4-0 locomotive1 x 4-wheel coach1 x Open wagon1 x 3rd radius starter oval track1 x P9200 transformer1 x R8250 train controller1 x R8206 power track1 x Hornby MidiMat (1600 x 1180 mm)","Great value intro set // 5.0 // 4 Jan. 2013 // By
    
    Mr Stephen Halligan
  
 on 4 Jan. 2013 // Everything you need to get started bought seperately this set would be double the price - all you need is two DIY paste tables a room to put them in and a big kid to set up and a little kid if he is lucky to watch and join ion a little bit | Fantastic little set. // 4.0 // 16 Sept. 2014 // By
    
    Schnuggles
  
TOP 500 REVIEWERVINE VOICE on 16 Sept. 2014 // At £50 this is a bargain and a really good set to start off a model train hobby. My 5 year old was desperate to have his own proper tra",Model Trains & Railway Sets,Rail Vehicles,Trains,,Hobbies
766d5209dbf210951b4f7ba875087a25,Chuggington Interactive Lc55020Uk Speedy Mcallister,Chuggington,,,1,5.0,"Technical Details Item Weight159 g Product Dimensions7 x 13.5 x 4 cm Batteries:2 AA batteries required. (included) Manufacturer recommended age:36 months - 10 years Item model numberLC55020UK Assembly RequiredNo Batteries Required?Yes Batteries Included?Yes    Additional Information ASINB00509TN7C Best Sellers Rank 333,413 in Toys & Games (See top 100) #369 in Toys & Games > Model Trains & Railway Sets > Rail Vehicles > Trains Shipping Weight222 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available19 July 2011    Feedback  Would you like to update product info or give feedback on images?","Product Description Chuggington follows the adventures of young trainees - Wilson, Brewster and Koko - as they learn to ride the rails. Now you can join the young trainees on their adventures in the world of Chuggington with traintastic toys!An amazingly Interactive Chuggington World! Chuggington Interactive Speedy McAllister instantly recognises and ""magically"" talks to any other engine, training stop and set accessories. This engine has over 60 sounds and phrases (when used with other Chuggington interactive products). Featuring the actual voice from the Chuggington show. Each Interactive talking engine features Smart Talk technology which enables them to instantly recognise any other engine, react to any train stop and respond to your play! Chuggington Interactive is a magical open ended play system featuring iconic destinations and characters from the BBC's CBeebies top rated preschool show Chuggington. Speedy McAllister is a Grand old steam train who likes to take everything in his stride and never likes to rush. Box Contains 1 x Speedy McAllister","Great toy // 5.0 // 9 Jun. 2013 // By
    
    Lovey
  
 on 9 Jun. 2013 // Well made, hours of fun and a great learning experience as it talks to your children. A must have for the collection",Model Trains & Railway Sets,Rail Vehicles,Trains,,Hobbies
0a3cd40ea53168d89620e88d80374946,Bigjigs Rail Track Splitter (Pack of 2),Bigjigs Rail,5.49,3,2,4.0,"Technical Details Item Weight118 g Product Dimensions9 x 3 x 20.5 cm Manufacturer recommended age:36 months - 6 years Item model numberBJT109 Main Language(s)English Assembly RequiredYes Batteries Required?No Batteries Included?No    Additional Information ASINB0017I8H4A Best Sellers Rank 148,283 in Toys & Games (See top 100) #224 in Toys & Games > Model Trains & Railway Sets > Accessories > Landscaping > Track Construction Shipping Weight118 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available7 April 2008   ","Track Splitter. Additional wooden track and accessories allow a Bigjigs Rail network to be extended and tailored for each play session, helping to develop imaginative play sessions. Pack of 2. Most other major wooden railway brands are compatible with Bigjigs Rail. Made from high quality, responsibly sourced materials. Conforms to current European safety standards. Age 3+ years. Length: 145mm.The Bigjigs Rail range is one of the most complete wooden railway systems available. A comprehensive range of wooden railway products (including train track, train sets, trains, train tables and more) make Bigjigs Rail the perfect choice when starting or extending a wooden railway network.Founded in June 1985, Bigjigs Toys is a family operated business which has never lost sight of its roots. Our mission is to deliver quality, safe and affordable products, which are responsibly sourced and complement childhood through fun, exploration and learning. We believe that the best toys are powered by creativity and imaginative play and strive to produce toys that are cherished and enjoyed for years to come.","Fits with the Brio and Carousel // 4.0 // 1 Aug. 2012 // By
    
    Hazster
  
 on 1 Aug. 2012 // Much cheaper than the Brio, and if you're not too worried about everything matching (which this does unless you look closely) then this is a fine alternative.The only downside is it doesn't fit as snug as like for like pieces, but again, that's only if you're being REALLY picky | Four Stars // 4.0 // 26 Aug. 2014 // By
    
    RussellC823
  
 on 26 Aug. 2014 // as expected",Model Trains & Railway Sets,Accessories,Landscaping,Track Construction,Hobbies
b158c4841db6e585d7dc9c3bab93f41a,2-Car Set N gauge 10-1232 KUHA 103 ATC Yamanote Line car preparation (Japan import / The package and the manual are written in Japanese),Kato,18.50,26,2,4.5,"Technical Details Item Weight109 g Product Dimensions20.3 x 10.3 x 3.5 cm Manufacturer recommended age:8 years and up Item model number10-1232 Scale1:160 Track Width/GaugeNo    Additional Information ASINB00HV8J0BO Best Sellers Rank 304,908 in Toys & Games (See top 100) #199 in Toys & Games > Model Trains & Railway Sets > Rail Vehicles > Locomotives Shipping Weight109 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available24 Feb. 2014    Feedback  Would you like to update product info or give feedback on images?",Suitable for the following scale(s): N Scale,"the product is good and it runs smoothly on my track // 4.0 // 27 Jan. 2016 // By
    
    Amazon Customer
  
 on 27 Jan. 2016 // the product is good and it runs smoothly on my track, word of warning it is not a motorized unit, it istwo cars that go on the front and back of the main train, they do light up, and theoretically you could get a katomotorized chassis and swap one of the middle boogies for a motorized one, but i haven't tried it.apart from that it is a well built and sturdy model and it is a really good purchase | Five Stars // 5.0 // 9 Jan. 2016 // By
    
    gereatricgeorge
  
 o",Model Trains & Railway Sets,Rail Vehicles,Locomotives,,Hobbies
41bece2b9073dd6e7c74f4f1b2e51e03,Thomas & Friends Trackmaster Diesel 10 Motorised Engine,Thomas & Friends,,1,28,4.4,"Technical Details Item Weight209 g Product Dimensions24.1 x 4 x 5.2 cm Batteries:1 AA batteries required. Manufacturer recommended age:3 - 3 years Item model numberR9230 Assembly RequiredNo Batteries Required?Yes Batteries Included?No Material Type(s)Plastic    Additional Information ASINB003VW56TO Best Sellers Rank 85,606 in Toys & Games (See top 100) #110 in Toys & Games > Model Trains & Railway Sets > Rail Vehicles > Trains Shipping Weight259 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available5 Jan. 2011    Feedback  Would you like to update product info or give feedback on images?",Product Description A motorised Diesel 10 engine for the TrackMaster motorised railway. Push Diesel 10 along or flip the switch to watch him chug along by himself. motorised train track play is compatible with all TrackMaster sets (sold separately). The Thomas and Friends TrackMaster Diesel 10 Playset requires 1 x AA battery (not included) and is suitable for ages 3 years and over. Box Contains 1 x Thomas and Friends TrackMaster Diesel 10 Playset,"Another fantastic addition to the trackmaster trains // 5.0 // 18 April 2012 // By
    
    Miss Kelly
  
 on 18 April 2012 // I bought this for my 3 year old son who is obsessed with Thomas and the Trackmaster collection. He absolutly loves the day of the diesels film, so I got him this train, along with Den, Dart and Bell. Its still great fun like all previous trackmaster trains, and is fantastic for any child who loves playing with trains. I think its great for developing imaginative play too, as he now makes the ""diesels"" and ""steamies"" role play and talk, and we've painted an old box to m",Model Trains & Railway Sets,Rail Vehicles,Trains,,Hobbies
bda7f788d5671861a63ada34f3e05ec1,Plan Toys Modern Train,Plan Toys,7.67,13,1,5.0,"Technical Details Item Weight113 g Product Dimensions4.3 x 6.3 x 18.8 cm Manufacturer recommended age:3 years and up Item model number0622100 Main Language(s)English Assembly RequiredNo Batteries Required?No Batteries Included?No    Additional Information ASINB001B9L6GQ Best Sellers Rank 276,544 in Toys & Games (See top 100) #296 in Toys & Games > Model Trains & Railway Sets > Rail Vehicles > Trains Shipping Weight113 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available6 Nov. 2009    Feedback  Would you like to update product info or give feedback on images?","Product Description A beautifully finished, modern style train from Plan Toys. Suitable for children aged 3 years and above. For more than 30 years, PlanToys has been consistently developing its products and activities with a strong commitment that a company could ever made to contribute positively to the world. From the best-practice and beyond with innovation and creativity in toys process and design, PlanToys is not only well-known for the first company in the world to manufacture wooden toys from preservative-free rubberwood, it is one of the leading company to create new material and process to minimize waste up to zero. Box Contains 1 x Modern Train","A*********************************** Product // 5.0 // 30 Jan. 2014 // By
    
    Victoria
  
 on 30 Jan. 2014 // I bought this for accompanying my 2 year old sons wooden train set, this train is by far the best as the train is so well made and  its carriage joining is so much better than the old style magnetic ones causes so much less frustration for younger children",Model Trains & Railway Sets,Rail Vehicles,Trains,,Hobbies
c47c3e59171ae2698a7458963db9a154,Faller 140431,Faller,,3,2,4.5,"Technical Details Item Weight998 g Product Dimensions20 x 20 x 20 cm Manufacturer recommended age:14 years and up Item model number140431 Main Language(s)Italian manual, German manual, French manual, English manual, Spanish manual Assembly RequiredYes Scale1:87 Track Width/GaugeHO Batteries Included?No Remote Control Included?No    Additional Information ASINB0009NPPVW Best Sellers Rank 480,947 in Toys & Games (See top 100) #15 in Toys & Games > Model Trains & Railway Sets > Accessories > Recreational Activities Shipping Weight1.1 Kg Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available29 Sept. 2009    Feedback  Would you like to update product info or give feedback on images?",Faller 140431 - EAN 4104090004316 - Faller 140431 - scale H0 1:87,"All the fun of the fair // 5.0 // 22 July 2013 // By
    
    Mac
  
 on 22 July 2013 // 'Top Spin' is a very popular fairground/themepark ride seen under different names. I bought this kit to replace my worn out model built about eight years ago as part of my model fairground which I used to exhibit to raise funds for coronary research and children's CHUF unit at the Freeman Hospital. Much care is required in building these kits to get the best results, they're fun to build and a delight to run. The quality is excellent and instructions concise. | Four Stars // 4.0 // 11 Nov. 2014 // By
    
",Model Trains & Railway Sets,Accessories,Recreational Activities,,Hobbies
