product_id,product_name,manufacturer,price,number_available_in_stock,number_of_reviews,average_review_rating,product_information,product_description,customer_reviews,subcategory_1,subcategory_2,subcategory_3,subcategory_4,category,price_gbp
cb34f0a84102c1ebc3ef6892d7444d36,20pcs Model Garden Light Double Heads Lamppost Scale 1:100,Generic,6.99,,2.0,5.0,"Technical Details Manufacturer recommended age:3 years and up    Additional Information ASINB008MRH3Y4 Best Sellers Rank 60,815 in Toys & Games (See top 100) #9 in Toys & Games > Model Trains & Railway Sets > Lighting & Signal Engineering > Lamps & Lighting Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available19 July 2012    Feedback  Would you like to update product info or give feedback on images?","These delicate model garden lights are mainly used in teaching, photography, and various kinds of scene model. Each of them is completed with wires and has double heads, which can be lighten with 6V power. These model lights measure about 7cm high. Light up your model layout with this great model lamppost! Description: A pack of 20pcs model garden lamps Each has double head, completed with wires and bulbs Mainly used to decorate your model layout Voltage: 6V Power: 1 W Height: Approx. 2.76 inch / 7cm Scale: 1:100 Material: Plastic Main Color: Black Note: Each lamp has 4 wires altogether. When you connect these wires with the power, please connect two long wires with one end and connect the rest two short wires with another end. Package Include: 20pcs model garden lights","Five Stars // 5.0 // 27 Dec. 2014 // By
    
    catherine baines
  
 on 27 Dec. 2014 // the victorian style added to the character that my husband was trying to acheve with his model train layout | Five Stars // 5.0 // 9 Mar. 2015 // By
    
    Wayne Grange
  
 on 9 Mar. 2015 // Good value",Model Trains & Railway Sets,Lighting & Signal Engineering,Lamps & Lighting,,Hobbies,6.99
0a3cd40ea53168d89620e88d80374946,Bigjigs Rail Track Splitter (Pack of 2),Bigjigs Rail,5.49,3,2.0,4.0,"Technical Details Item Weight118 g Product Dimensions9 x 3 x 20.5 cm Manufacturer recommended age:36 months - 6 years Item model numberBJT109 Main Language(s)English Assembly RequiredYes Batteries Required?No Batteries Included?No    Additional Information ASINB0017I8H4A Best Sellers Rank 148,283 in Toys & Games (See top 100) #224 in Toys & Games > Model Trains & Railway Sets > Accessories > Landscaping > Track Construction Shipping Weight118 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available7 April 2008   ","Track Splitter. Additional wooden track and accessories allow a Bigjigs Rail network to be extended and tailored for each play session, helping to develop imaginative play sessions. Pack of 2. Most other major wooden railway brands are compatible with Bigjigs Rail. Made from high quality, responsibly sourced materials. Conforms to current European safety standards. Age 3+ years. Length: 145mm.The Bigjigs Rail range is one of the most complete wooden railway systems available. A comprehensive range of wooden railway products (including train track, train sets, trains, train tables and more) make Bigjigs Rail the perfect choice when starting or extending a wooden railway network.Founded in June 1985, Bigjigs Toys is a family operated business which has never lost sight of its roots. Our mission is to deliver quality, safe and affordable products, which are responsibly sourced and complement childhood through fun, exploration and learning. We believe that the best toys are powered by creativity and imaginative play and strive to produce toys that are cherished and enjoyed for years to come.","Fits with the Brio and Carousel // 4.0 // 1 Aug. 2012 // By
    
    Hazster
  
 on 1 Aug. 2012 // Much cheaper than the Brio, and if you're not too worried about everything matching (which this does unless you look closely) then this is a fine alternative.The only downside is it doesn't fit as snug as like for like pieces, but again, that's only if you're being REALLY picky | Four Stars // 4.0 // 26 Aug. 2014 // By
    
    RussellC823
  
 on 26 Aug. 2014 // as expected",Model Trains & Railway Sets,Accessories,Landscaping,Track Construction,Hobbies,5.49
35818f06af151c9f3d7246fdc58ef23f,Kato 2-851 Right Hand Electric Point 550mm Radius,Kato,20.67,27,3.0,5.0,"Technical Details Item Weight227 g Product Dimensions26.2 x 12.8 x 1.6 cm Manufacturer recommended age:8 years and up Item model number2-851 Scale1:87 Track Width/GaugeHO    Additional Information ASINB0003K0AT8 Best Sellers Rank 457,531 in Toys & Games (See top 100) #510 in Toys & Games > Model Trains & Railway Sets > Accessories > Landscaping > Track Construction Shipping Weight159 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available31 Mar. 2010    Feedback  Would you like to update product info or give feedback on images?",Suitable for the following scale(s): HO Scale,"Five Stars // 5.0 // 22 Jan. 2015 // By
    
    philip adair pullinger
  
 on 22 Jan. 2015 // Excellent turnout. Works well for OO hornby and bachmann locos  and rolling stock too. | Kato HO  points. // 5.0 // 30 Jan. 2016 // By
    
    Amazon Customer
  
 on 30 Jan. 2016 // Kato HO points reliable, easy to use and install on layout. | Useful items // 5.0 // 2 Sept. 2015 // By
    
    NickC
  
 on 2 Sept. 2015 // Very robust",Model Trains & Railway Sets,Accessories,Landscaping,Track Construction,Hobbies,20.67
72dd741c74cbfa2b2dec3530bb0f8c1b,Dapol New Gwr Home Semaphore Working Signal Lower Quadrant Oosign1 Oo Gauge,Dapol,29.30,2,1.0,4.0,"Technical Details Manufacturer recommended age:14 years and up Manufacturer reference4L-001-001 Scale1:76 Track Width/GaugeOO    Additional Information ASINB00AARJEZK Best Sellers Rank 524,372 in Toys & Games (See top 100) #46 in Toys & Games > Model Trains & Railway Sets > Lighting & Signal Engineering > Signal & Sound Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available21 Nov. 2012    Feedback  Would you like to update product info or give feedback on images?",Suitable for the following scale(s): OO Scale,"Faulty Signal // 4.0 // 23 Jan. 2016 // By
    
    Amazon Customer
  
 on 23 Jan. 2016 // Whilst I liked the item when it arrived when I wired it up it failed to work properly and was returned promptly to the supplierfor a replacement.",Model Trains & Railway Sets,Lighting & Signal Engineering,Signal & Sound,,Hobbies,29.30
8089eb2ba20a4abafd72b436aae83cae,Busch 1022,Busch,10.99,4,1.0,4.0,"Technical Details Item Weight100 g Product Dimensions17.8 x 10.6 x 3 cm Manufacturer recommended age:14 years and up Item model number1022 Assembly RequiredYes Scale1:87 Track Width/GaugeHO Batteries Required?No    Additional Information ASINB00LC74E02 Best Sellers Rank 673,178 in Toys & Games (See top 100) #36 in Toys & Games > Model Trains & Railway Sets > Accessories > Figures & Decoration Parts > Decoration Parts #836 in Toys & Games > Model Trains & Railway Sets > Accessories > Landscaping > Landscape Architecture Shipping Weight100 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available27 Jun. 2014    Feedback  Would you like to update product info or give feedback on images?","Busch Model Railway - Modern Steel Pipe Fence Suitable for a variety of scales including OO / HO.Kit for a modern steel tube fence with concrete posts in two different variations: with three steel tubes, posts 20 mm high and double metal door; and with two steel tubes, posts 13 mm high and single metal mesh door. Length: each 480 mm. PLEASE NOTE THAT THIS ITEM IS NOT INTENDED TO BE A TOY, THIS ITEM IS FOR MODELLING ENTHUSIASTS. MINIMUM AGE RECOMMENDED 14+.","Four Stars // 4.0 // 24 Jun. 2015 // By
    
    Dean peart
  
 on 24 Jun. 2015 // Good but whud say for the more experts modeler.",Model Trains & Railway Sets,Accessories,Landscaping,Landscape Architecture,Hobbies,10.99
fe9b958657bc699f5a4353a9914f3844,Take Along Thomas & Friends - Lorry 1,Learning Curve,,1,1.0,5.0,"Technical Details Item Weight141 g Product Dimensions19 x 12 x 3.8 cm Manufacturer recommended age:3 - 3 years Item model number57413 Number of Puzzle Pieces1 Assembly RequiredNo Batteries Required?No Batteries Included?No    Additional Information ASINB0002HZ8IK Best Sellers Rank 310,518 in Toys & Games (See top 100) Shipping Weight141 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available1 Jan. 2004    Feedback  Would you like to update product info or give feedback on images?",Product Description Take Along - Thomas and Friends - Lorry Box Contains Lorry,"Great toy! // 5.0 // 22 Jan. 2014 // By
    
    renaissance gal
  
 on 22 Jan. 2014 // My boys are very happy with their very own lorry.  It is well-made, durable, and great to have the second piece so that the lorry can haul things, too.",Thomas & Friends,Train Play,Take Along Thomas,,Characters & Brands,
1c7b81dfab439d99fa20e6a1591d0d8d,Tomy Thomas Track Master Donald Train,Tomy,,3,1.0,5.0,"Technical Details Item Weight259 g Product Dimensions44 x 7 x 4 cm Manufacturer recommended age:3 years and up Item model number178266    Additional Information ASINB00020IQ0E Best Sellers Rank 133,403 in Toys & Games (See top 100) Shipping Weight259 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available1 Jan. 2004    Feedback  Would you like to update product info or give feedback on images?",Box Contains 1 x Donald Engine2 x freight wagons,"Thomas train family // 5.0 // 29 Mar. 2010 // By
    
    Alex
  
 on 29 Mar. 2010 // You must take it to complete The Thomas Games.I like this game & my daughter too.",Thomas & Friends,Train Play,Motor Road & Rail,,Characters & Brands,
5c74f6dbd705d10d7dbfdf4edcbff8f8,Wooden Thomas & Friends: Edward the Blue Engine,Learning Curve,9.99,7,10.0,4.9,Technical Details Item Weight141 g Product Dimensions39.1 x 10.2 x 29.7 cm Manufacturer recommended age:36 months - 8 years Item model numberLC99002A Manufacturer's Suggested Maximum Weight43.5 Kilograms Number of Puzzle Pieces1 Assembly RequiredNo Batteries Required?No Batteries Included?No    Additional Information ASINB00000JHX8 Customer Reviews ,"Product Description Edward is an older blue engine and is exteremely kind to everyone he comes across; even those who are rude and impatient. This Edward engine has been made from real wood and comes with a coal tender carriage. The carriage, and other Thomas Wooden Railway engines, can be connected together using a strong magnetic coupling system found on the front and back of the engines. This Edward engine has a printed name on the chassis and includes a character card which outlines Edward's personality and role within Sodor. The Thomas & Friends Wooden Railway - Edward the Blue Engine is a great way to encourage roleplay. Amazon.co.uk Review Edward the Blue Engine is an older engine. Kind and patient with Thomas and the other younger engines, Edward is a Really Useful Engine. This Edward is made out of real wood and arrives complete with his own coal truck. He has a three-dimensional face and is linked to his own coal truck with a very strong magnetic coupling. Over the years (and these Thomas trains will have years of play value) these solid wooden trains will prove to be a great investment as they stand the test of time. Edward will work happily on the Thomas & Friends Wooden Railway Sets and all other major brand wooden train sets. Suitable for children aged 2 to 6 years --Victoria Mackenzie","Edward engine // 4.0 // 8 Nov. 2001 // By
    
    Gustoph1
  
 on 8 Nov. 2001 // Once again poor workmanship seems to let down this range. My 3 year old os a Thomas fan but these Flair trains are so much more flimsy than there originals by Brio. The paint chips and marks simply too easily for the price. | Edward the Blue Engine // 5.0 // 20 May 2011 // By
    
    E. Grant
  
 on 20 May 2011 // Bought for my sons 3rd Birthday and he loves it.Apart from the other engine he got he hasn't looked at anything else.Well worth the money to see the smile on my sons face. | Edward the blue engine // 5",Thomas & Friends,Train Play,Wooden Thomas,,Characters & Brands,9.99
9d426c646fc679932b4aa0822f9a3b7b,Wooden Thomas & Friends: Terence the Tractor,Learning Curve,25.00,2,4.0,4.3,"Technical Details Item Weight59 g Product Dimensions4.5 x 8 x 3.5 cm Manufacturer recommended age:36 months - 8 years Item model numberLC99021A Number of Puzzle Pieces1 Assembly RequiredNo Batteries Required?No Batteries Included?No    Additional Information ASINB00000JHXV Best Sellers Rank 208,380 in Toys & Games (See top 100) Shipping Weight82 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available1 Jan. 2004    Feedback  Would you like to update product info or give feedback on images?","Product Description A slow, old tractor, Terrence is the subject of lots of teasing from many of the smaller engines on the subject of his caterpillar tracks. Despite this, Terence always has a smile as he works steadily throughout the day. Made from real wood, Terence features a magnetic coupling and will attach to other Thomas Wooden Railway cars and vehicles. Suitable for children aged 2 and up, Terrence has his name printed on the chassis and comes with a character card which details his personality and role on Sodor. The Thomas & Friends Wooden Railway - Terence the Tractor is a great way to encourage imaginative play. Box Contains Terrence the Tractor","nice toy arrived broken // 3.0 // 18 Jun. 2012 // By
    
    Wolfies wife
  
 on 18 Jun. 2012 // Nice toy ordered and delivered quickly, unfortunately i wrapped it and gave it to my son before opening and checking the toy only for him to open it and to be very upset as the tracks were both broken but concealed under the toy until he'd ripped the box open. very disappointed | Present for a friend's son // 5.0 // 1 Feb. 2012 // By
    
    Karen S. Carroll
  
 on 1 Feb. 2012 // This was a Christmas present for a friend's son and I am told, was very well received. Arrived quickly and well packag",Thomas & Friends,Train Play,Wooden Thomas,,Characters & Brands,25.00
2b8586f5c637eaa5ad30055c5102e985,Take Along Thomas & Friends - Annie,Learning Curve,14.99,2,6.0,4.7,"Technical Details Item Weight181 g Product Dimensions14 x 3.5 x 12.5 cm Manufacturer recommended age:3 - 3 years Item model number57405 Number of Puzzle Pieces1 Assembly RequiredNo Batteries Required?No Batteries Included?No    Additional Information ASINB0002HZ8GC Best Sellers Rank 241,868 in Toys & Games (See top 100) Shipping Weight100 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available1 Jan. 2004    Feedback  Would you like to update product info or give feedback on images?",Product Description Take Along - Thomas and Friends - Annie Box Contains Annie,"Essential to go with Thomas // 5.0 // 15 Dec. 2009 // By
    
    Crafty Gran
  
 on 15 Dec. 2009 // My 2yr old grandson was given Annie as part of the Take Along Thomas collection. He loves watching the programmes and these little engines, trucks and carriages are just right for his little hands. He gets great enjoyment from playing with them and so far they are still as good as new. The engines are metal and appear to be robust and although plastic, the wheels are still whole. I think they are a good buy. | Take Along Thomas and Friends // 5.0 // 18 Jun. 2009 // By
    
    K. B. Byrne
  
 o",Thomas & Friends,Train Play,Take Along Thomas,,Characters & Brands,14.99
